date,code,name,change_percent,amount,activity,rank,turnover_rate,net_inflow,source
2025-08-22,new_cbzz,船舶制造,0.9243,6759085900.0,27.0833,8,,,sina_membership+tencent_equal_weight
2025-08-22,new_cmyl,传媒娱乐,0.6286,18111809600.0,60.4167,15,,,sina_membership+tencent_equal_weight
2025-08-22,new_dlhy,电力行业,0.1797,22501073100.0,66.6667,26,,,sina_membership+tencent_equal_weight
2025-08-22,new_dqhy,电器行业,0.4596,30647564200.0,79.1667,20,,,sina_membership+tencent_equal_weight
2025-08-22,new_dzqj,电子器件,1.6827,136876262500.0,97.9167,3,,,sina_membership+tencent_equal_weight
2025-08-22,new_dzxx,电子信息,2.0202,145121117600.0,100.0,1,,,sina_membership+tencent_equal_weight
2025-08-22,new_fdc,房地产,0.176,22623204200.0,68.75,27,,,sina_membership+tencent_equal_weight
2025-08-22,new_fdsb,发电设备,0.6888,36987979500.0,85.4167,13,,,sina_membership+tencent_equal_weight
2025-08-22,new_fjzz,飞机制造,1.3008,11650637900.0,50.0,5,,,sina_membership+tencent_equal_weight
2025-08-22,new_fzhy,纺织行业,-0.1938,8493946800.0,31.25,35,,,sina_membership+tencent_equal_weight
2025-08-22,new_fzjx,纺织机械,-0.3782,2017168900.0,4.1667,42,,,sina_membership+tencent_equal_weight
2025-08-22,new_fzxl,服装鞋类,-0.5359,14015670200.0,54.1667,46,,,sina_membership+tencent_equal_weight
2025-08-22,new_glql,公路桥梁,0.0947,1826944600.0,2.0833,29,,,sina_membership+tencent_equal_weight
2025-08-22,new_gsgq,供水供气,-0.2183,2292533700.0,6.25,36,,,sina_membership+tencent_equal_weight
2025-08-22,new_gthy,钢铁行业,-0.6484,21057771600.0,64.5833,47,,,sina_membership+tencent_equal_weight
2025-08-22,new_hbhy,环保行业,-0.3645,4949977300.0,20.8333,41,,,sina_membership+tencent_equal_weight
2025-08-22,new_hghy,化工行业,0.3689,35670095500.0,81.25,22,,,sina_membership+tencent_equal_weight
2025-08-22,new_hqhy,化纤行业,0.4613,8538149100.0,33.3333,19,,,sina_membership+tencent_equal_weight
2025-08-22,new_jdhy,家电行业,0.5017,24244307100.0,72.9167,17,,,sina_membership+tencent_equal_weight
2025-08-22,new_jdly,酒店旅游,0.4567,9841624100.0,41.6667,21,,,sina_membership+tencent_equal_weight
2025-08-22,new_jjhy,家具行业,-0.5272,2862441600.0,8.3333,44,,,sina_membership+tencent_equal_weight
2025-08-22,new_jrhy,金融行业,1.6687,71798490000.0,93.75,4,,,sina_membership+tencent_equal_weight
2025-08-22,new_jtys,交通运输,0.1816,25777620900.0,77.0833,25,,,sina_membership+tencent_equal_weight
2025-08-22,new_jxhy,机械行业,0.47,57339911200.0,89.5833,18,,,sina_membership+tencent_equal_weight
2025-08-22,new_jzjc,建筑建材,0.3522,23389292900.0,70.8333,23,,,sina_membership+tencent_equal_weight
2025-08-22,new_kfq,开发区,0.571,6619768000.0,25.0,16,,,sina_membership+tencent_equal_weight
2025-08-22,new_ljhy,酿酒行业,-0.124,20840610800.0,62.5,34,,,sina_membership+tencent_equal_weight
2025-08-22,new_mtc,摩托车,-0.3489,2998012600.0,12.5,39,,,sina_membership+tencent_equal_weight
2025-08-22,new_mthy,煤炭行业,-0.0583,13665655100.0,52.0833,32,,,sina_membership+tencent_equal_weight
2025-08-22,new_nlmy,农林牧渔,-0.2456,16808957700.0,58.3333,37,,,sina_membership+tencent_equal_weight
2025-08-22,new_nyhf,农药化肥,-0.6774,11140549000.0,47.9167,48,,,sina_membership+tencent_equal_weight
2025-08-22,new_qczz,汽车制造,1.1745,75035661200.0,95.8333,6,,,sina_membership+tencent_equal_weight
2025-08-22,new_qtxy,其它行业,0.7856,8622536900.0,37.5,9,,,sina_membership+tencent_equal_weight
2025-08-22,new_slzp,塑料制品,-0.4761,10115740600.0,45.8333,43,,,sina_membership+tencent_equal_weight
2025-08-22,new_snhy,水泥行业,1.0827,6510316300.0,22.9167,7,,,sina_membership+tencent_equal_weight
2025-08-22,new_sphy,食品行业,-0.3546,15066703100.0,56.25,40,,,sina_membership+tencent_equal_weight
2025-08-22,new_swzz,生物制药,-0.0466,39150946400.0,87.5,31,,,sina_membership+tencent_equal_weight
2025-08-22,new_sybh,商业百货,-0.0688,24362768200.0,75.0,33,,,sina_membership+tencent_equal_weight
2025-08-22,new_syhy,石油行业,-0.5351,7585681700.0,29.1667,45,,,sina_membership+tencent_equal_weight
2025-08-22,new_tchy,陶瓷行业,0.29,2917154600.0,10.4167,24,,,sina_membership+tencent_equal_weight
2025-08-22,new_wzwm,物资外贸,0.743,4109654900.0,14.5833,12,,,sina_membership+tencent_equal_weight
2025-08-22,new_ylqx,医疗器械,-0.295,9170427200.0,39.5833,38,,,sina_membership+tencent_equal_weight
2025-08-22,new_yqyb,仪器仪表,1.8566,35818535700.0,83.3333,2,,,sina_membership+tencent_equal_weight
2025-08-22,new_ysbz,印刷包装,0.7764,8579834400.0,35.4167,10,,,sina_membership+tencent_equal_weight
2025-08-22,new_ysjs,有色金属,0.766,67201404200.0,91.6667,11,,,sina_membership+tencent_equal_weight
2025-08-22,new_zhhy,综合行业,0.1202,4883729600.0,18.75,28,,,sina_membership+tencent_equal_weight
2025-08-22,new_zzhy,造纸行业,0.0807,4493541400.0,16.6667,30,,,sina_membership+tencent_equal_weight
2025-08-25,new_blhy,玻璃行业,0.4055,10297070400.0,36.7347,39,,,sina_membership+tencent_equal_weight
2025-08-25,new_cbzz,船舶制造,0.8359,8521952500.0,28.5714,24,,,sina_membership+tencent_equal_weight
2025-08-25,new_cmyl,传媒娱乐,0.7416,24439513200.0,61.2245,30,,,sina_membership+tencent_equal_weight
2025-08-25,new_dlhy,电力行业,0.7092,30589514200.0,69.3878,31,,,sina_membership+tencent_equal_weight
2025-08-25,new_dqhy,电器行业,1.5478,37603318000.0,77.551,8,,,sina_membership+tencent_equal_weight
2025-08-25,new_dzqj,电子器件,0.8657,148189090400.0,97.9592,23,,,sina_membership+tencent_equal_weight
2025-08-25,new_dzxx,电子信息,1.5537,165440481700.0,100.0,7,,,sina_membership+tencent_equal_weight
2025-08-25,new_fdc,房地产,1.9391,41886171200.0,79.5918,5,,,sina_membership+tencent_equal_weight
2025-08-25,new_fdsb,发电设备,1.158,53914971900.0,87.7551,14,,,sina_membership+tencent_equal_weight
2025-08-25,new_fjzz,飞机制造,2.3327,16653287700.0,53.0612,3,,,sina_membership+tencent_equal_weight
2025-08-25,new_fzhy,纺织行业,0.3935,9904174900.0,34.6939,40,,,sina_membership+tencent_equal_weight
2025-08-25,new_fzjx,纺织机械,-0.2,2100846100.0,4.0816,47,,,sina_membership+tencent_equal_weight
2025-08-25,new_fzxl,服装鞋类,0.1337,14780465500.0,51.0204,44,,,sina_membership+tencent_equal_weight
2025-08-25,new_glql,公路桥梁,0.3519,2548871700.0,6.1224,41,,,sina_membership+tencent_equal_weight
2025-08-25,new_gsgq,供水供气,0.167,2920370700.0,10.2041,43,,,sina_membership+tencent_equal_weight
2025-08-25,new_gthy,钢铁行业,1.1023,24763434700.0,63.2653,15,,,sina_membership+tencent_equal_weight
2025-08-25,new_hbhy,环保行业,0.4292,5959454000.0,18.3673,38,,,sina_membership+tencent_equal_weight
2025-08-25,new_hghy,化工行业,0.9369,44175385000.0,81.6327,21,,,sina_membership+tencent_equal_weight
2025-08-25,new_hqhy,化纤行业,0.6134,11594880500.0,38.7755,32,,,sina_membership+tencent_equal_weight
2025-08-25,new_jdhy,家电行业,0.5814,28783540500.0,67.3469,34,,,sina_membership+tencent_equal_weight
2025-08-25,new_jdly,酒店旅游,0.9205,12700900800.0,42.8571,22,,,sina_membership+tencent_equal_weight
2025-08-25,new_jjhy,家具行业,0.5647,3155716400.0,12.2449,36,,,sina_membership+tencent_equal_weight
2025-08-25,new_jrhy,金融行业,1.0165,82671990400.0,91.8367,18,,,sina_membership+tencent_equal_weight
2025-08-25,new_jtys,交通运输,0.5712,28686034100.0,65.3061,35,,,sina_membership+tencent_equal_weight
2025-08-25,new_jxhy,机械行业,0.8062,66547249000.0,89.7959,26,,,sina_membership+tencent_equal_weight
2025-08-25,new_jzjc,建筑建材,0.8048,32369309100.0,71.4286,27,,,sina_membership+tencent_equal_weight
2025-08-25,new_kfq,开发区,0.3074,8158814600.0,26.5306,42,,,sina_membership+tencent_equal_weight
2025-08-25,new_ljhy,酿酒行业,2.9758,36660532100.0,75.5102,2,,,sina_membership+tencent_equal_weight
2025-08-25,new_mtc,摩托车,-0.6481,4204113100.0,14.2857,48,,,sina_membership+tencent_equal_weight
2025-08-25,new_mthy,煤炭行业,1.8659,18135862200.0,55.102,6,,,sina_membership+tencent_equal_weight
2025-08-25,new_nlmy,农林牧渔,0.793,20868620600.0,59.1837,28,,,sina_membership+tencent_equal_weight
2025-08-25,new_nyhf,农药化肥,0.6074,13045381600.0,46.9388,33,,,sina_membership+tencent_equal_weight
2025-08-25,new_qczz,汽车制造,1.021,84694068700.0,93.8776,17,,,sina_membership+tencent_equal_weight
2025-08-25,new_qtxy,其它行业,1.5244,11746267900.0,40.8163,9,,,sina_membership+tencent_equal_weight
2025-08-25,new_slzp,塑料制品,1.1636,12963370700.0,44.898,12,,,sina_membership+tencent_equal_weight
2025-08-25,new_snhy,水泥行业,2.1211,9130770500.0,30.6122,4,,,sina_membership+tencent_equal_weight
2025-08-25,new_sphy,食品行业,1.0708,20155294000.0,57.1429,16,,,sina_membership+tencent_equal_weight
2025-08-25,new_stock,次新股,-1.795,682955700.0,2.0408,49,,,sina_membership+tencent_equal_weight
2025-08-25,new_swzz,生物制药,0.7575,47256571100.0,85.7143,29,,,sina_membership+tencent_equal_weight
2025-08-25,new_sybh,商业百货,1.1587,34541421600.0,73.4694,13,,,sina_membership+tencent_equal_weight
2025-08-25,new_syhy,石油行业,0.0488,7105221300.0,24.4898,45,,,sina_membership+tencent_equal_weight
2025-08-25,new_tchy,陶瓷行业,0.4871,2750356300.0,8.1633,37,,,sina_membership+tencent_equal_weight
2025-08-25,new_wzwm,物资外贸,1.3794,6783835500.0,22.449,10,,,sina_membership+tencent_equal_weight
2025-08-25,new_ylqx,医疗器械,1.1864,13119747200.0,48.9796,11,,,sina_membership+tencent_equal_weight
2025-08-25,new_yqyb,仪器仪表,0.9471,46875247600.0,83.6735,20,,,sina_membership+tencent_equal_weight
2025-08-25,new_ysbz,印刷包装,0.9651,9591051400.0,32.6531,19,,,sina_membership+tencent_equal_weight
2025-08-25,new_ysjs,有色金属,2.9873,101053760900.0,95.9184,1,,,sina_membership+tencent_equal_weight
2025-08-25,new_zhhy,综合行业,-0.1539,6039635000.0,20.4082,46,,,sina_membership+tencent_equal_weight
2025-08-25,new_zzhy,造纸行业,0.8273,5804695700.0,16.3265,25,,,sina_membership+tencent_equal_weight
2025-08-26,new_blhy,玻璃行业,-0.4096,8885571000.0,32.6531,45,,,sina_membership+tencent_equal_weight
2025-08-26,new_cbzz,船舶制造,-0.8788,6515795400.0,24.4898,47,,,sina_membership+tencent_equal_weight
2025-08-26,new_cmyl,传媒娱乐,0.9621,23862122100.0,61.2245,11,,,sina_membership+tencent_equal_weight
2025-08-26,new_dlhy,电力行业,-0.066,22851659600.0,59.1837,39,,,sina_membership+tencent_equal_weight
2025-08-26,new_dqhy,电器行业,0.2413,37930363900.0,83.6735,33,,,sina_membership+tencent_equal_weight
2025-08-26,new_dzqj,电子器件,1.1987,146814431100.0,97.9592,7,,,sina_membership+tencent_equal_weight
2025-08-26,new_dzxx,电子信息,0.3123,152150691800.0,100.0,32,,,sina_membership+tencent_equal_weight
2025-08-26,new_fdc,房地产,0.337,36620625600.0,79.5918,31,,,sina_membership+tencent_equal_weight
2025-08-26,new_fdsb,发电设备,0.4737,46799153500.0,87.7551,24,,,sina_membership+tencent_equal_weight
2025-08-26,new_fjzz,飞机制造,-0.3506,13592809900.0,46.9388,44,,,sina_membership+tencent_equal_weight
2025-08-26,new_fzhy,纺织行业,0.6946,11567091400.0,44.898,19,,,sina_membership+tencent_equal_weight
2025-08-26,new_fzjx,纺织机械,1.2284,3059681700.0,12.2449,6,,,sina_membership+tencent_equal_weight
2025-08-26,new_fzxl,服装鞋类,0.9538,14496164400.0,53.0612,12,,,sina_membership+tencent_equal_weight
2025-08-26,new_glql,公路桥梁,0.419,2533058900.0,6.1224,29,,,sina_membership+tencent_equal_weight
2025-08-26,new_gsgq,供水供气,0.4985,2667431000.0,10.2041,23,,,sina_membership+tencent_equal_weight
2025-08-26,new_gthy,钢铁行业,0.0228,25730991200.0,69.3878,36,,,sina_membership+tencent_equal_weight
2025-08-26,new_hbhy,环保行业,0.9642,5738838200.0,20.4082,10,,,sina_membership+tencent_equal_weight
2025-08-26,new_hghy,化工行业,0.9121,41981153000.0,85.7143,13,,,sina_membership+tencent_equal_weight
2025-08-26,new_hqhy,化纤行业,1.3104,10290424100.0,40.8163,4,,,sina_membership+tencent_equal_weight
2025-08-26,new_jdhy,家电行业,0.8817,25658371700.0,67.3469,14,,,sina_membership+tencent_equal_weight
2025-08-26,new_jdly,酒店旅游,0.758,13818878700.0,48.9796,16,,,sina_membership+tencent_equal_weight
2025-08-26,new_jjhy,家具行业,-0.2824,2570208100.0,8.1633,43,,,sina_membership+tencent_equal_weight
2025-08-26,new_jrhy,金融行业,-0.9631,51990009500.0,89.7959,48,,,sina_membership+tencent_equal_weight
2025-08-26,new_jtys,交通运输,0.4253,24666941500.0,65.3061,26,,,sina_membership+tencent_equal_weight
2025-08-26,new_jxhy,机械行业,0.551,60985935200.0,91.8367,22,,,sina_membership+tencent_equal_weight
2025-08-26,new_jzjc,建筑建材,0.7796,25989709300.0,71.4286,15,,,sina_membership+tencent_equal_weight
2025-08-26,new_kfq,开发区,-0.5777,6792037000.0,26.5306,46,,,sina_membership+tencent_equal_weight
2025-08-26,new_ljhy,酿酒行业,-0.0888,29225666900.0,75.5102,40,,,sina_membership+tencent_equal_weight
2025-08-26,new_mtc,摩托车,1.397,5455039200.0,18.3673,3,,,sina_membership+tencent_equal_weight
2025-08-26,new_mthy,煤炭行业,0.4236,15459195900.0,55.102,27,,,sina_membership+tencent_equal_weight
2025-08-26,new_nlmy,农林牧渔,1.2452,24290047400.0,63.2653,5,,,sina_membership+tencent_equal_weight
2025-08-26,new_nyhf,农药化肥,1.6919,14381972900.0,51.0204,2,,,sina_membership+tencent_equal_weight
2025-08-26,new_qczz,汽车制造,0.5978,81247701300.0,93.8776,21,,,sina_membership+tencent_equal_weight
2025-08-26,new_qtxy,其它行业,-1.6023,10218371900.0,36.7347,49,,,sina_membership+tencent_equal_weight
2025-08-26,new_slzp,塑料制品,-0.0553,10228422800.0,38.7755,38,,,sina_membership+tencent_equal_weight
2025-08-26,new_snhy,水泥行业,0.048,7468196700.0,28.5714,35,,,sina_membership+tencent_equal_weight
2025-08-26,new_sphy,食品行业,1.0186,18396284300.0,57.1429,8,,,sina_membership+tencent_equal_weight
2025-08-26,new_stock,次新股,3.5017,889884800.0,2.0408,1,,,sina_membership+tencent_equal_weight
2025-08-26,new_swzz,生物制药,-0.1539,37536405800.0,81.6327,41,,,sina_membership+tencent_equal_weight
2025-08-26,new_sybh,商业百货,0.4222,27914141400.0,73.4694,28,,,sina_membership+tencent_equal_weight
2025-08-26,new_syhy,石油行业,0.4535,6115654700.0,22.449,25,,,sina_membership+tencent_equal_weight
2025-08-26,new_tchy,陶瓷行业,0.7231,2376754200.0,4.0816,18,,,sina_membership+tencent_equal_weight
2025-08-26,new_wzwm,物资外贸,0.988,7671877600.0,30.6122,9,,,sina_membership+tencent_equal_weight
2025-08-26,new_ylqx,医疗器械,-0.1684,10350859800.0,42.8571,42,,,sina_membership+tencent_equal_weight
2025-08-26,new_yqyb,仪器仪表,0.73,35661293800.0,77.551,17,,,sina_membership+tencent_equal_weight
2025-08-26,new_ysbz,印刷包装,0.623,9027367500.0,34.6939,20,,,sina_membership+tencent_equal_weight
2025-08-26,new_ysjs,有色金属,0.0144,83325906200.0,95.9184,37,,,sina_membership+tencent_equal_weight
2025-08-26,new_zhhy,综合行业,0.4064,5327999700.0,16.3265,30,,,sina_membership+tencent_equal_weight
2025-08-26,new_zzhy,造纸行业,0.0904,4985132700.0,14.2857,34,,,sina_membership+tencent_equal_weight
2025-08-27,new_blhy,玻璃行业,-3.004,8865182600.0,32.6531,38,,,sina_membership+tencent_equal_weight
2025-08-27,new_cbzz,船舶制造,-2.9495,7258220400.0,24.4898,36,,,sina_membership+tencent_equal_weight
2025-08-27,new_cmyl,传媒娱乐,-2.2096,25746013300.0,63.2653,16,,,sina_membership+tencent_equal_weight
2025-08-27,new_dlhy,电力行业,-1.4357,30251347600.0,71.4286,2,,,sina_membership+tencent_equal_weight
2025-08-27,new_dqhy,电器行业,-1.9411,46209741400.0,83.6735,7,,,sina_membership+tencent_equal_weight
2025-08-27,new_dzqj,电子器件,-1.7272,174578130600.0,97.9592,3,,,sina_membership+tencent_equal_weight
2025-08-27,new_dzxx,电子信息,-1.753,180091678100.0,100.0,4,,,sina_membership+tencent_equal_weight
2025-08-27,new_fdc,房地产,-3.2291,36388501900.0,77.551,45,,,sina_membership+tencent_equal_weight
2025-08-27,new_fdsb,发电设备,-2.1065,49642258300.0,87.7551,13,,,sina_membership+tencent_equal_weight
2025-08-27,new_fjzz,飞机制造,-2.7999,15456701700.0,53.0612,31,,,sina_membership+tencent_equal_weight
2025-08-27,new_fzhy,纺织行业,-3.2949,10163259800.0,34.6939,48,,,sina_membership+tencent_equal_weight
2025-08-27,new_fzjx,纺织机械,-3.2717,2612390600.0,8.1633,46,,,sina_membership+tencent_equal_weight
2025-08-27,new_fzxl,服装鞋类,-3.0277,14828029600.0,48.9796,39,,,sina_membership+tencent_equal_weight
2025-08-27,new_glql,公路桥梁,-2.0427,2452120300.0,6.1224,10,,,sina_membership+tencent_equal_weight
2025-08-27,new_gsgq,供水供气,-2.4053,2978698400.0,12.2449,20,,,sina_membership+tencent_equal_weight
2025-08-27,new_gthy,钢铁行业,-3.0552,25548662800.0,61.2245,41,,,sina_membership+tencent_equal_weight
2025-08-27,new_hbhy,环保行业,-2.5053,6962754700.0,22.449,24,,,sina_membership+tencent_equal_weight
2025-08-27,new_hghy,化工行业,-2.375,46558314300.0,85.7143,18,,,sina_membership+tencent_equal_weight
